time,x,y,z,roll,pitch,yaw,vi_x,vi_y,vi_z,wi_x,wi_y,wi_z,vb_x,vb_y,vb_z,wb_x,wb_y,wb_z,alpha,beta,fl,fr,rb0
0.0028390884399414,0.0314537920057773,0.0775785520672798,0.2047975063323974,0.0479523367544594,-0.0418917097581534,0.0039208479260577,0.000174806876616,-0.0084617679769342,-0.0002773973074825,0.047824427180796,-0.000487813381955,-0.002428367770344,0.0001298868089511,-0.008466230266436,0.0001228759468908,0.0477227284545084,-0.0006035518093625,-0.0024000655212195,0.7576683463167924,-1.5496803854034331,0,0,0
0.0237438678741455,0.0314434245228767,0.0773874968290329,0.2047985792160034,0.048888476540867,-0.0418749405135032,0.0039180564174565,-0.0001667216420172,-0.0100140842524441,8.916312997991381e-05,0.0526340185581523,0.0006913469430028,-0.0010923358798504,-0.0002020428526968,-0.0099966153380948,0.0005869327495996,0.0525882904250252,0.0006371863479793,-0.0011238597625137,1.9023261733332293,-1.5087814783446667,0,0,0
0.043076753616333,0.0314828716218471,0.0771971121430397,0.2048026174306869,0.0497427197730431,-0.0418107967931689,0.0038666532059252,0.0012504803863438,-0.0119182006879286,0.0003891804001547,0.0516344790992361,0.0032301590897774,0.0007803851945801,0.0012196022390468,-0.0118913682002814,0.0009309150992886,0.0516670981203043,0.0032649322252451,0.000618128110679,0.6519551344608813,-1.4424800814381802,0,0,0
0.0629043579101562,0.0315038487315177,0.0770219042897224,0.2047859281301498,0.0505966038639007,-0.0418843714794414,0.0038315619847546,0.0019793788140468,-0.0112464292482896,-0.0002994889562779,0.0520713838696764,-0.0001528510344347,-0.0023436082733281,0.0019220346057009,-0.0112587625274659,0.0001893522797092,0.0519732520081577,-0.000271079505926,-0.0023308258658169,0.0981997070389776,-1.4009088471646407,0,0,0
0.0731112957000732,0.0315353497862815,0.0768290981650352,0.2047760784626007,0.0514555072418856,-0.0418555642003632,0.0038319086737619,0.0024934526194225,-0.0122544399716636,-0.000411117618734,0.0533273915555217,0.0009717292635568,-0.0004221294824982,0.002427131333254,-0.0122740643875057,0.0001183198349622,0.0533097282462777,0.0009487508506838,-0.0004711803184344,0.0487102777374099,-1.3753442713863682,0,0,0
0.0929164886474609,0.0315237827599048,0.0766300782561302,0.2047459781169891,0.052338528327601,-0.0417835561437547,0.0038800052611924,0.0001010948961431,-0.011730059981346,-0.0016200948845256,0.0520550656895353,0.0013946553509654,0.0011067689823129,-1.214058701357717e-05,-0.0117991031425304,-0.0010051131363913,0.0521012969784363,0.0014505952633401,0.0010313278712846,-1.582874565747715,-1.485809763090799,0,0,0
0.1029229164123535,0.031540859490633,0.0764020308852195,0.2047419399023056,0.0532558784937888,-0.041830679949542,0.0037950174691019,0.0006864707578312,-0.0133753391829403,-0.0009802417321638,0.0540454736410278,-0.0002110825943132,-0.0019856763413044,0.0005941579693248,-0.0134124298780921,-0.000292429968164,0.0539624356711758,-0.0003163898249177,-0.0019698904965225,-0.4573684015072458,-1.5214625795441306,0,0,0
0.1231637001037597,0.0315305888652801,0.0761726647615432,0.2047300785779953,0.0541114653032135,-0.0419074281000364,0.0037150931023317,-0.0004765594547444,-0.0139417445117776,-0.0009810220111499,0.0527620879198361,-0.0031257299386529,-0.0036651939838876,-0.0005689871168283,-0.0139712893467747,-0.0002026839449318,0.0526085340217531,-0.0033192131068491,-0.0034875607723196,-2.7993884210699016,-1.5275910570247688,0,0,0
0.1428744792938232,0.0315105020999908,0.0759807601571083,0.2047064453363418,0.0549368299406651,-0.041913558646176,0.0037510405494782,-0.0012672523205929,-0.0127787346189672,-0.0012014020573008,0.050725695235484,-0.0027356015875422,-0.000855607271712,-0.001364362091003,-0.0128175040834395,-0.000442107413386,0.0506898441889409,-0.0027784139778318,-0.000703356466822,-2.8282296039908044,-1.4593656139271378,0,0,0
0.1529221534729004,0.0314929969608783,0.0757961422204971,0.2046794444322586,0.0558708229274262,-0.0418913052171974,0.0038081795860147,-0.0016392503272403,-0.0116347968578337,-0.0015021345832129,0.0529476749028384,-0.000593270108276,0.0022004092619801,-0.0017449767092715,-0.0116901963587436,-0.0007787253961555,0.0530398259609518,-0.0004695774614513,0.0022281776257219,-2.7218474858217685,-1.408771518679089,0,0,0
0.1729757785797119,0.0314970612525939,0.075575865805149,0.2046815305948257,0.0568050302381015,-0.0419076301314758,0.0036907724017556,-0.0008940696716307,-0.0124060782519252,-0.0004740438678046,0.0559196161396179,-0.0004073668616017,-0.0027401311758875,-0.0009588865440654,-0.0124073432053953,0.0002706047641235,0.0558048173452268,-0.0005621427380233,-0.0027101814330217,2.8665383149657573,-1.4906659489691978,0,0,0
0.1929595470428466,0.0314644314348697,0.0753586664795875,0.2046822160482406,0.0576853291511891,-0.0419403366474406,0.0036876790981694,-0.0012220062992788,-0.0125933289527892,5.7358633388174255e-05,0.0542432655987598,-0.0009514929807107,-0.0019693148035291,-0.0012649176831993,-0.012561427458548,0.0008360902940633,0.0541606960844204,-0.001063348066063,-0.0019094535483856,2.5575345596697274,-1.450669384973261,0,0,0
0.2029268741607666,0.0314267724752426,0.0751377865672111,0.2046898007392883,0.0586353045401368,-0.0419497523879681,0.0037147989232018,-0.001916663890535,-0.0128096694296056,0.0004512207074598,0.056029966395507,-0.0012835896221638,0.0002500779802348,-0.0019435847970646,-0.0127492129197604,0.0012825285786774,0.0560404540282332,-0.0012667415955312,0.0003246491244958,2.5583047300436648,-1.3901406827354172,0,0,0
