time,x,y,z,roll,pitch,yaw,vi_x,vi_y,vi_z,wi_x,wi_y,wi_z,vb_x,vb_y,vb_z,wb_x,wb_y,wb_z,alpha,beta,fl,fr,rb0
0.0070319175720214,0.0010179311502724,0.0810033828020095,0.2020672857761383,0.0461402131741613,-0.0823326685300747,-0.0115701103471508,0.0042578502378256,0.0065023167566819,0.0009294910864395,-0.0249498305279668,0.0216998826100801,-0.0056992522835363,0.0042446081319484,0.0065710340468982,0.0002796048863108,-0.0254185352257392,0.0214148070943617,-0.0066747835096139,0.0657779240127711,0.9962810816185204,0.0,0.0,0.01
0.0174291133880615,0.0009835977107286,0.0811562687158584,0.2020771950483322,0.045779080514951,-0.0819518263466221,-0.0112353475352958,0.0022005875732494,0.0076355175538495,0.000308649106459,-0.0259931011747398,0.019039173163583,0.0041804843064129,0.0021328316751598,0.0076578899486324,-0.0002161685307128,-0.0256508862095984,0.0192098960323587,0.0032907973399577,-0.1010079100477771,1.2978422186866023,0.0,0.0,0.01
0.0374634265899658,0.0010332461679354,0.0812586173415184,0.2020899802446365,0.0453684302483248,-0.0816996357852739,-0.0112823622112354,0.0009391382442448,0.0060103224082425,0.000980266115882,-0.0250067476580995,0.020203491533402,0.0082512572670619,0.0009483614259323,0.0060554252517984,0.0006319124753142,-0.0243333726390603,0.0205556726889929,0.0072989864374593,0.5877627769054398,1.3847761632296771,0.0,0.0,0.01
0.0570700168609619,0.0010554023319855,0.0813724026083946,0.202102854847908,0.0450280745744859,-0.081464471466865,-0.011285532297376,-3.034439445896501e-05,0.007244825363159,0.00066156278957,-0.0227291299988252,0.0150912592643747,0.0031808546750728,-5.789638913448596e-05,0.0072667697690579,0.0003417393467582,-0.0224702898727579,0.0152186674048761,0.0024877915622913,1.7386196177647455,1.5231346452691603,0.0,0.0,0.01
0.0769321918487548,0.0010331923840567,0.0814747139811515,0.2020944058895111,0.0447132919483224,-0.0813603087096606,-0.0112338712060705,-0.0014954393158073,0.0069210624152963,-1.414255662398039e-06,-0.0196539902665604,0.0085023627183676,0.0043562036534188,-0.001568004905376,0.0069025778112107,-0.0001822796771612,-0.0192999590792633,0.0086879360442798,0.0039574121940572,-3.025862679903842,1.3459705792032466,0.0,0.0,0.01
0.087181806564331,0.0009873785311356,0.081559769809246,0.2020766735076904,0.0444427344660084,-0.0813802623876134,-0.0112443365965157,-0.0029033817858857,0.0057661479169672,-0.0009205910292537,-0.0164429843354673,-0.0006868759054209,0.0014182023309318,-0.0030330458137665,0.0056974310338979,-0.0009303161525358,-0.0163276980080796,-0.0006233981583155,0.0014426295989736,-2.843976051163496,1.0627224651840623,0.0,0.0,0.01
0.1071653366088867,0.000899173959624,0.0816657766699791,0.2020547538995742,0.0441575965445922,-0.0815097608226613,-0.0112102882337253,-0.004831750908951,0.005661131306128,-0.001479303294962,-0.0156676903717817,-0.0090340174197052,0.0007387081163428,-0.0049991015800072,0.0055536546032324,-0.0013222959920612,-0.0156075451008297,-0.008992710454863,0.0011343287186996,-2.883007886152906,0.8210606744664251,0.0,0.0,0.01
0.1175382137298584,0.0008336789906024,0.0817179530858993,0.202039361000061,0.0438878481932712,-0.0817430751687018,-0.0113578890666714,-0.0046207876770163,0.0036005608060142,-0.0014201321385123,-0.014351000427526,-0.0161643388136072,-0.0071677230918843,-0.0047617754080254,0.0034990313952769,-0.0011894395415899,-0.0149362598694209,-0.0164621987976832,-0.0064277201039134,-2.89681250470398,0.6193393618324808,0.0,0.0,0.01
0.1370959281921386,0.0007532369345426,0.0817931070923805,0.2020270824432373,0.0435646119381167,-0.0820915562393234,-0.0114588814582751,-0.005262864764187,0.0034276883710513,-0.0012038566849448,-0.0166203816227571,-0.0234315067276918,-0.008322058164976,-0.0053826569339718,0.0033306444562947,-0.0009109752191843,-0.0173027852698889,-0.0237704872357942,-0.0072657017187907,-2.973938648519596,0.5478110428881185,0.0,0.0,0.01
0.1570725440979004,0.0005797237390652,0.0818889513611793,0.2019782364368438,0.0432902305656011,-0.0824180932242009,-0.0115179790955223,-0.0086091523778369,0.0046374987472187,-0.0022666454315184,-0.0178586789596041,-0.0242524821794164,-0.0069227376552281,-0.0088191932276929,0.0044668822303252,-0.0017407971623692,-0.0184285920732185,-0.0245283369774664,-0.0058432073956696,-2.9467105166989107,0.4611708343224468,0.0,0.0,0.01
0.1769838333129882,0.00029400413041,0.082006074488163,0.2018516808748245,0.0426636873963753,-0.0830338594119461,-0.0114948570318808,-0.0152975979620927,0.0065228315916928,-0.0057355219667608,-0.0301137932595614,-0.0333783805854926,0.000107053984199,-0.0157943000270379,0.0061513794419971,-0.004707511575248,-0.0301049143650707,-0.0333434574908292,0.0015302008979252,-2.851924619425673,0.3572290283208959,0.0,0.0,0.01
0.1870582103729248,0.0003371324855834,0.0820575058460235,0.2018636167049408,0.0425185358266708,-0.0834133215328227,-0.011786714408375,-0.0055480964206665,0.0047052082690324,-0.00259085947817,-0.0206847150590608,-0.0297048098106577,-0.0115261460911611,-0.0057995488554009,0.004545395840022,-0.0023103076234425,-0.0216450346685832,-0.030166187085215,-0.0102130657781835,-2.762500966621001,0.6293401415209414,0.0,0.0,0.01
